"Country","count","neflix_sum","hulu_sum","prime_sum","disney_sum"
"Argentina",20,18,0,2,0
"Australia",83,19,18,49,1
"Austria",7,4,1,2,0
"Bangladesh",3,3,0,0,0
"Brazil",33,30,1,3,0
"Cambodia",1,1,0,0,0
"Cameroon",1,1,0,0,0
"Canada",209,52,19,138,3
"Chile",6,4,0,2,0
"China",27,16,3,7,1
"Colombia",10,7,0,3,0
"Czechia",1,0,1,0,0
"Denmark",5,2,2,1,0
"East Germany",1,0,0,1,0
"Egypt",38,37,0,2,0
"Finland",1,1,0,0,0
"France",87,44,6,36,1
"Georgia",1,1,0,0,0
"Germany",51,32,2,16,1
"Ghana",3,3,0,0,0
"Greece",2,0,0,2,0
"Guam",1,0,0,1,0
"Guatemala",1,0,0,1,0
"Hong Kong SAR China",49,33,1,16,0
"Hungary",3,3,0,0,0
"Iceland",2,1,0,1,0
"India",784,505,3,288,2
"Indonesia",50,48,1,1,0
"Iran",2,1,0,1,0
"Ireland",10,2,1,7,0
"Israel",3,1,0,2,0
"Italy",47,22,1,24,0
"Japan",105,62,16,28,0
"Kenya",2,1,0,1,0
"Kuwait",2,2,0,0,0
"Latvia",1,0,0,1,0
"Lebanon",9,9,0,0,0
"Malaysia",14,14,0,0,0
"Mexico",48,38,1,9,0
"Namibia",1,1,0,0,0
"Netherlands",14,8,0,6,0
"New Zealand",15,6,4,6,0
"Nigeria",63,63,0,1,0
"Norway",6,2,2,3,0
"Pakistan",8,5,0,3,0
"Palestinian Territories",1,1,0,0,0
"Peru",4,4,0,0,0
"Philippines",68,59,0,9,0
"Poland",14,11,0,3,0
"Republic of North Macedonia",1,0,1,0,0
"Romania",6,5,0,1,0
"Russia",17,4,2,12,0
"Saudi Arabia",5,5,0,0,0
"Serbia",2,0,0,2,0
"Singapore",6,5,0,1,0
"South Africa",23,18,0,5,0
"South Korea",65,28,15,23,0
"Soviet Union",2,0,0,2,0
"Spain",90,78,1,11,0
"Sweden",8,5,1,2,0
"Switzerland",2,1,0,1,0
"Taiwan",15,12,0,3,0
"Thailand",26,19,0,7,0
"Turkey",47,47,0,0,0
"Ukraine",4,0,0,4,0
"United Arab Emirates",12,11,0,0,1
"United Kingdom",329,89,38,206,8
"United States",4357,1165,549,2141,632
"Uruguay",2,2,0,0,0
"Venezuela",4,0,1,3,0
"Vietnam",3,3,0,0,0
"West Germany",2,1,0,1,0
"Yugoslavia",1,0,0,1,0
"Zimbabwe",1,1,0,0,0
